"id_paciente";"nome";"nif";"telefone";"email";"data_consulta";"especialidade"
"2";"Joao Costa";"987654321";"913456789";"joao.costa@example.com";"2025-09-12";"Neurologia"
"5";"Rita Santos";"999888777";"915678901";"karolmacedobranco@gmail.com";"2025-09-20";"Dermatologia"
"6";"Pedro Alves";"222333444";"916789012";"pedro.alves@example.com";"2025-09-22";"Ortopedia"
"7";"Ana Lopes";"872456789";"912345678";"ana.lopes@example.com";"2025-09-10";"Ecografia"
"8";"Filipe Barros";"741852963";"917890123";"filipe.barros@example.com";"2025-10-13";"Oncologia"
"9";"Claudia Ferreira";"852963741";"916543210";"carolina2005mb@gmail.com";"2025-10-11";"Hematologia"
"12";"Andre Rocha";"300700800";"969876543";"andre.rocha@mail.com";"2026-02-05";"Ortopedia"
"13";"Joana Pinto";"300800900";"931234567";"joana.pinto@mail.com";"2026-03-10";"Gastroenterologia"
"14";"Rui Sousa";"300901000";"910000000";"rui.sousa@mail.com";"2026-04-20";"Cardiologia"
"15";"Teresa Lima";"301101200";"966777888";"teresa.lima@mail.com";"2026-05-20";"Oftalmologia"
"16";"Vitor Ramos";"301301400";"921234567";"vitor.ramos@mail.com";"2025-10-25";"Neurologia"
"17";"Patricia Silva";"301501600";"932345678";"patricia.silva@mail.com";"2025-11-05";"Pediatria"
"21";"Catarina Bastos";"302302400";"966789012";"catarina.bastos@mail.com";"2025-12-04";"Fisioterapia"
"22";"David Pereira";"302502600";"927890123";"david.pereira@mail.com";"2025-12-01";"Dermatologia"
"23";"Ines Ferreira";"302702800";"938901234";"ines.ferreira@mail.com";"2025-12-05";"Gastroenterologia"
"24";"Rui Almeida";"302903000";"969012345";"rui.almeida@mail.com";"2025-12-10";"Ortopedia"
"25";"Marta Teixeira";"303103200";"920123456";"marta.teixeira@mail.com";"2025-12-15";"Neurologia"
"26";"Nuno Esteves";"303303400";"931234567";"nuno.esteves@mail.com";"2025-12-20";"Cardiologia"
"27";"Sara Rodrigues";"303503600";"962345678";"sara.rodrigues@mail.com";"2025-12-25";"Pediatria"
"28";"Vasco Cunha";"303703800";"913456789";"vasco.cunha@mail.com";"2026-01-01";"Fisioterapia"
"29";"Clara Gomes";"303904000";"934567890";"clara.gomes@mail.com";"2026-01-05";"Otorrino"
"30";"Sergio Vaz";"304104200";"965678901";"sergio.vaz@mail.com";"2026-01-10";"Dermatologia"
"31";"Barbara Cruz";"304304400";"926789012";"barbara.cruz@mail.com";"2026-01-15";"Gastroenterologia"
"32";"Hugo Morais";"304504600";"937890123";"hugo.morais@mail.com";"2026-01-20";"Oftalmologia"
"33";"Diana Sousa";"304704800";"968901234";"diana.sousa@mail.com";"2026-01-25";"Neurologia"
"34";"Gustavo Pina";"304905000";"929012345";"gustavo.pina@mail.com";"2026-02-01";"Pediatria"
"35";"Elsa Ribeiro";"305105200";"930123456";"elsa.ribeiro@mail.com";"2026-02-05";"Cardiologia"
"36";"Fabio Pires";"305305400";"961234567";"fabio.pires@mail.com";"2026-02-10";"Ginecologia"
"37";"Isabel Abreu";"305505600";"922345678";"isabel.abreu@mail.com";"2026-02-15";"Otorrino"
"38";"Jorge Lopes";"305705800";"933456789";"jorge.lopes@mail.com";"2026-02-20";"Fisioterapia"
"39";"Lucia Dinis";"305906000";"964567890";"lucia.dinis@mail.com";"2026-02-25";"Dermatologia"
"40";"Marco Reis";"306106200";"925678901";"marco.reis@mail.com";"2026-03-01";"Gastroenterologia"
"41";"Nadia Dias";"306306400";"936789012";"nadia.dias@mail.com";"2026-03-05";"Ortopedia"
"42";"Octavio Pires";"306506600";"967890123";"octavio.pires@mail.com";"2026-03-10";"Oftalmologia"
"43";"Paula Cruz";"306706800";"928901234";"paula.cruz@mail.com";"2026-03-15";"Neurologia"
"44";"Quim Pereira";"306907000";"939012345";"quim.pereira@mail.com";"2026-03-20";"Pediatria"
"45";"Rafaela Gomes";"307107200";"960123456";"rafaela.gomes@mail.com";"2026-03-25";"Cardiologia"
"46";"Sandro Vaz";"307307400";"921234567";"sandro.vaz@mail.com";"2026-04-01";"Ginecologia"
"47";"Telma Castro";"307507600";"932345678";"telma.castro@mail.com";"2026-04-05";"Otorrino"
"48";"Uriel Dinis";"307707800";"963456789";"uriel.dinis@mail.com";"2026-04-10";"Fisioterapia"
"49";"Vania Lemos";"307908000";"924567890";"vania.lemos@mail.com";"2026-04-15";"Dermatologia"
"50";"Xavier Silva";"308108200";"935678901";"xavier.silva@mail.com";"2026-04-20";"Gastroenterologia"
"51";"Yara Cruz";"308308400";"966789012";"yara.cruz@mail.com";"2026-04-25";"Ortopedia"
"52";"Ze Simoes";"308508600";"927890123";"ze.simoes@mail.com";"2026-05-01";"Oftalmologia"
"53";"Alice Costa";"308708800";"938901234";"alice.costa@mail.com";"2026-05-05";"Neurologia"
"54";"Bernardo Lima";"308909000";"969012345";"bernardo.lima@mail.com";"2026-05-10";"Pediatria"
"55";"Cecilia Dantas";"309109200";"920123456";"cecilia.dantas@mail.com";"2026-05-15";"Cardiologia"
"56";"Dinis Neves";"309309400";"931234567";"dinis.neves@mail.com";"2026-05-20";"Ginecologia"
"57";"Eliza Pires";"309509600";"962345678";"eliza.pires@mail.com";"2026-05-25";"Otorrino"
"58";"Filipe Cunha";"309709800";"923456789";"filipe.cunha@mail.com";"2026-06-01";"Fisioterapia"
"59";"Gloria Reis";"309910000";"934567890";"gloria.reis@mail.com";"2026-06-05";"Dermatologia"
"60";"Horacio Sousa";"310110200";"965678901";"horacio.sousa@mail.com";"2026-06-10";"Gastroenterologia"
"61";"Irene Martins";"310310400";"926789012";"irene.martins@mail.com";"2026-06-15";"Ortopedia"
"62";"Joel Pires";"310510600";"937890123";"joel.pires@mail.com";"2026-06-20";"Oftalmologia"
"63";"Katia Lopes";"310710800";"968901234";"katia.lopes@mail.com";"2026-06-25";"Neurologia"
"64";"Leonor Dias";"310911000";"929012345";"leonor.dias@mail.com";"2026-07-01";"Pediatria"
"65";"Manuel Abreu";"311111200";"930123456";"manuel.abreu@mail.com";"2026-07-05";"Cardiologia"
"66";"Nuria Costa";"311311400";"961234567";"nuria.costa@mail.com";"2026-07-10";"Ginecologia"
"67";"Oscar Esteves";"311511600";"922345678";"oscar.esteves@mail.com";"2026-07-15";"Otorrino"
"68";"Patricia Gomes";"311711800";"933456789";"patricia.gomes@mail.com";"2026-07-20";"Fisioterapia"
"69";"Quiteria Silva";"311912000";"964567890";"quiteria.silva@mail.com";"2026-07-25";"Dermatologia"
"70";"Ramiro Pires";"312112200";"925678901";"ramiro.pires@mail.com";"2026-08-01";"Gastroenterologia"
"71";"Susana Martins";"312312400";"936789012";"susana.martins@mail.com";"2026-08-05";"Ortopedia"
"72";"Tomas Neves";"312512600";"967890123";"tomas.neves@mail.com";"2026-08-10";"Oftalmologia"
"73";"Ulisses Sousa";"312712800";"928901234";"ulisses.sousa@mail.com";"2026-08-15";"Neurologia"
"74";"Veronica Santos";"312913000";"939012345";"veronica.santos@mail.com";"2026-08-20";"Pediatria"
"75";"Wilson Dinis";"313113200";"960123456";"wilson.dinis@mail.com";"2026-08-25";"Cardiologia"
"76";"Xana Ferreira";"313313400";"921234567";"xana.ferreira@mail.com";"2026-09-01";"Ginecologia"
"77";"Yolanda Alves";"313513600";"932345678";"yolanda.alves@mail.com";"2026-09-05";"Otorrino"
"78";"Zara Lima";"313713800";"963456789";"zara.lima@mail.com";"2026-09-10";"Fisioterapia"
"79";"Andre Morais";"313914000";"924567890";"andre.morais@mail.com";"2026-09-15";"Dermatologia"
"80";"Beatriz Pina";"314114200";"935678901";"beatriz.pina@mail.com";"2026-09-20";"Gastroenterologia"
"81";"Carla Ribeiro";"314314400";"966789012";"carla.ribeiro@mail.com";"2026-09-25";"Ortopedia"
"82";"Diogo Martins";"314514600";"927890123";"diogo.martins@mail.com";"2026-10-01";"Oftalmologia"
"83";"Eva Soares";"314714800";"938901234";"eva.soares@mail.com";"2026-10-05";"Neurologia"
"84";"Goncalo Teixeira";"314915000";"969012345";"goncalo.teixeira@mail.com";"2026-10-10";"Pediatria"
"85";"Helena Vaz";"315115200";"920123456";"helena.vaz@mail.com";"2026-10-15";"Cardiologia"
"86";"Inacio Pires";"315315400";"931234567";"inacio.pires@mail.com";"2026-10-20";"Ginecologia"
"87";"Julia Cruz";"315515600";"962345678";"julia.cruz@mail.com";"2026-10-25";"Otorrino"
